Age,Sex,VALUE
Under 1 year,Male,29546
Under 1 year,Female,28138
1 year,Male,28985
1 year,Female,27646
2 years,Male,30263
2 years,Female,28987
3 years,Male,31050
3 years,Female,29546
4 years,Male,31743
4 years,Female,29930
5 years,Male,32787
5 years,Female,31445
6 years,Male,34168
6 years,Female,32735
7 years,Male,35529
7 years,Female,33655
8 years,Male,36369
8 years,Female,34547
9 years,Male,37048
9 years,Female,35296
10 years,Male,38187
10 years,Female,36175
11 years,Male,38391
11 years,Female,36918
12 years,Male,39036
12 years,Female,37373
13 years,Male,38484
13 years,Female,36847
14 years,Male,37415
14 years,Female,36053
15 years,Male,35939
15 years,Female,34346
16 years,Male,34734
16 years,Female,33188
17 years,Male,34981
17 years,Female,32859
18 years,Male,33907
18 years,Female,32760
19 years,Male,33066
19 years,Female,31996
20 years,Male,32481
20 years,Female,31804
21 years,Male,31460
21 years,Female,30556
22 years,Male,31905
22 years,Female,31243
23 years,Male,31423
23 years,Female,30487
24 years,Male,30737
24 years,Female,29845
25 years,Male,30489
25 years,Female,29810
26 years,Male,29700
26 years,Female,29228
27 years,Male,29492
27 years,Female,29882
28 years,Male,29191
28 years,Female,30009
29 years,Male,30220
29 years,Female,31113
30 years,Male,31289
30 years,Female,33291
31 years,Male,32386
31 years,Female,33897
32 years,Male,32518
32 years,Female,34641
33 years,Male,32003
33 years,Female,34714
34 years,Male,33231
34 years,Female,36556
35 years,Male,35118
35 years,Female,38447
36 years,Male,35934
36 years,Female,39277
37 years,Male,36580
37 years,Female,39571
38 years,Male,37770
38 years,Female,41246
39 years,Male,38941
39 years,Female,42926
40 years,Male,40992
40 years,Female,43855
41 years,Male,41594
41 years,Female,43916
42 years,Male,41906
42 years,Female,43656
43 years,Male,39469
43 years,Female,41612
44 years,Male,38112
44 years,Female,39614
45 years,Male,38181
45 years,Female,38925
46 years,Male,37494
46 years,Female,38327
47 years,Male,37191
47 years,Female,37661
48 years,Male,36716
48 years,Female,37348
49 years,Male,36901
49 years,Female,37261
50 years,Male,36699
50 years,Female,36829
51 years,Male,35102
51 years,Female,35246
52 years,Male,34538
52 years,Female,34618
53 years,Male,32837
53 years,Female,32392
54 years,Male,32266
54 years,Female,32352
55 years,Male,31799
55 years,Female,31962
56 years,Male,30921
56 years,Female,31438
57 years,Male,31079
57 years,Female,32022
58 years,Male,30029
58 years,Female,30879
59 years,Male,29408
59 years,Female,30207
60 years,Male,29163
60 years,Female,29757
61 years,Male,28010
61 years,Female,29099
62 years,Male,27386
62 years,Female,28139
63 years,Male,26138
63 years,Female,26509
64 years,Male,25318
64 years,Female,26315
65 years,Male,25345
65 years,Female,25646
66 years,Male,24004
66 years,Female,24867
67 years,Male,23827
67 years,Female,24674
68 years,Male,22711
68 years,Female,23179
69 years,Male,22708
69 years,Female,23521
70 years,Male,21647
70 years,Female,22366
71 years,Male,20585
71 years,Female,21348
72 years,Male,20118
72 years,Female,21294
73 years,Male,19247
73 years,Female,20250
74 years,Male,18570
74 years,Female,19259
75 years,Male,17638
75 years,Female,18449
76 years,Male,16193
76 years,Female,17744
77 years,Male,14671
77 years,Female,16015
78 years,Male,13423
78 years,Female,14696
79 years,Male,12212
79 years,Female,13976
80 years,Male,10769
80 years,Female,12231
81 years,Male,9486
81 years,Female,11186
82 years,Male,8794
82 years,Female,10761
83 years,Male,7920
83 years,Female,9970
84 years,Male,6755
84 years,Female,8886
85 years,Male,6174
85 years,Female,8312
86 years,Male,5365
86 years,Female,7491
87 years,Male,4499
87 years,Female,6756
88 years,Male,3772
88 years,Female,5924
89 years,Male,3023
89 years,Female,4942
90 years,Male,2446
90 years,Female,4278
91 years,Male,1941
91 years,Female,3779
92 years,Male,1297
92 years,Female,2797
93 years,Male,937
93 years,Female,2314
94 years,Male,717
94 years,Female,1736
95 years,Male,481
95 years,Female,1340
96 years,Male,327
96 years,Female,955
97 years,Male,218
97 years,Female,731
98 years,Male,130
98 years,Female,491
99 years and over,Male,259
99 years and over,Female,926
