"Age","FertilityRatePer1000Women"
Under 1 year,0.0 
1 year,0.0
2 years,0.0
3 years,0.0
4 years,0.0
5 years,0.0
6 years,0.0
7 years,0.0
8 years,0.0
9 years,0.0
10 years,0.0
11 years,0.0
12 years,0.0
13 years,0.0
14 years,0.0
15 years,4.7
16 years,4.7
17 years,4.7
18 years,4.7
19 years,4.7
20 years,27.3
21 years,27.3
22 years,27.3
23 years,27.3
24 years,27.3
25 years,60.1
26 years,60.1
27 years,60.1
28 years,60.1
29 years,60.1
30 years,106.4
31 years,106.4
32 years,106.4
33 years,106.4
34 years,106.4
35 years,85.4
36 years,85.4
37 years,85.4
38 years,85.4
39 years,85.4
40 years,21.2
41 years,21.2
42 years,21.2
43 years,21.2
44 years,21.2
45 years,1.7
46 years,1.7
47 years,1.7
48 years,1.7
49 years,1.7
50 years,0.0
51 years,0.0
52 years,0.0
53 years,0.0
54 years,0.0
55 years,0.0
56 years,0.0
57 years,0.0
58 years,0.0
59 years,0.0
60 years,0.0
61 years,0.0
62 years,0.0
63 years,0.0
64 years,0.0
65 years,0.0
66 years,0.0
67 years,0.0
68 years,0.0
69 years,0.0
70 years,0.0
71 years,0.0
72 years,0.0
73 years,0.0
74 years,0.0
75 years,0.0
76 years,0.0
77 years,0.0
78 years,0.0
79 years,0.0
80 years,0.0
81 years,0.0
82 years,0.0
83 years,0.0
84 years,0.0
85 years,0.0
86 years,0.0
87 years,0.0
88 years,0.0
89 years,0.0
90 years,0.0
91 years,0.0
92 years,0.0
93 years,0.0
94 years,0.0
95 years,0.0
96 years,0.0
97 years,0.0
98 years,0.0
99 years and over,0.0
