AgeAtDeathIn2022,Sex,Deaths
Under 1 year,Male,108
Under 1 year,Female,80
1 year,Male,5
1 year,Female,5
2 years,Male,5
2 years,Female,7
3 years,Male,2
3 years,Female,5
4 years,Male,2
4 years,Female,1
5 years,Male,0
5 years,Female,3
6 years,Male,3
6 years,Female,2
7 years,Male,4
7 years,Female,2
8 years,Male,2
8 years,Female,4
9 years,Male,0
9 years,Female,2
10 years,Male,3
10 years,Female,2
11 years,Male,3
11 years,Female,2
12 years,Male,7
12 years,Female,2
13 years,Male,4
13 years,Female,5
14 years,Male,4
14 years,Female,3
15 years,Male,6
15 years,Female,3
16 years,Male,9
16 years,Female,3
17 years,Male,10
17 years,Female,5
18 years,Male,12
18 years,Female,6
19 years,Male,21
19 years,Female,6
20 years,Male,11
20 years,Female,6
21 years,Male,12
21 years,Female,6
22 years,Male,18
22 years,Female,7
23 years,Male,16
23 years,Female,2
24 years,Male,11
24 years,Female,5
25 years,Male,23
25 years,Female,8
26 years,Male,18
26 years,Female,7
27 years,Male,19
27 years,Female,10
28 years,Male,21
28 years,Female,3
29 years,Male,21
29 years,Female,5
30 years,Male,18
30 years,Female,14
31 years,Male,26
31 years,Female,11
32 years,Male,18
32 years,Female,14
33 years,Male,33
33 years,Female,16
34 years,Male,34
34 years,Female,18
35 years,Male,33
35 years,Female,14
36 years,Male,25
36 years,Female,15
37 years,Male,44
37 years,Female,22
38 years,Male,32
38 years,Female,24
39 years,Male,39
39 years,Female,25
40 years,Male,49
40 years,Female,34
41 years,Male,68
41 years,Female,36
42 years,Male,62
42 years,Female,43
43 years,Male,47
43 years,Female,26
44 years,Male,65
44 years,Female,47
45 years,Male,66
45 years,Female,37
46 years,Male,78
46 years,Female,44
47 years,Male,61
47 years,Female,50
48 years,Male,72
48 years,Female,48
49 years,Male,84
49 years,Female,63
50 years,Male,97
50 years,Female,76
51 years,Male,105
51 years,Female,56
52 years,Male,91
52 years,Female,90
53 years,Male,128
53 years,Female,96
54 years,Male,129
54 years,Female,95
55 years,Male,135
55 years,Female,67
56 years,Male,159
56 years,Female,89
57 years,Male,159
57 years,Female,95
58 years,Male,179
58 years,Female,122
59 years,Male,189
59 years,Female,101
60 years,Male,194
60 years,Female,110
61 years,Male,216
61 years,Female,119
62 years,Male,215
62 years,Female,159
63 years,Male,266
63 years,Female,138
64 years,Male,247
64 years,Female,176
65 years,Male,246
65 years,Female,159
66 years,Male,283
66 years,Female,194
67 years,Male,280
67 years,Female,208
68 years,Male,307
68 years,Female,216
69 years,Male,348
69 years,Female,238
70 years,Male,402
70 years,Female,257
71 years,Male,395
71 years,Female,291
72 years,Male,393
72 years,Female,306
73 years,Male,451
73 years,Female,332
74 years,Male,505
74 years,Female,344
75 years,Male,576
75 years,Female,381
76 years,Male,564
76 years,Female,457
77 years,Male,582
77 years,Female,422
78 years,Male,540
78 years,Female,450
79 years,Male,580
79 years,Female,471
80 years,Male,606
80 years,Female,472
81 years,Male,610
81 years,Female,461
82 years,Male,651
82 years,Female,490
83 years,Male,635
83 years,Female,612
84 years,Male,657
84 years,Female,550
85 years,Male,597
85 years,Female,657
86 years,Male,614
86 years,Female,671
87 years,Male,597
87 years,Female,658
88 years,Male,558
88 years,Female,684
89 years,Male,517
89 years,Female,676
90 years,Male,490
90 years,Female,618
91 years,Male,434
91 years,Female,605
92 years,Male,361
92 years,Female,513
93 years,Male,239
93 years,Female,489
94 years,Male,201
94 years,Female,457
95 years,Male,176
95 years,Female,402
96 years,Male,101
96 years,Female,308
97 years,Male,79
97 years,Female,246
98 years,Male,47
98 years,Female,178
99 years and over,Male,88
99 years and over,Female,381
