"Statistic Label","Year","Sex","Criteria for Projection","Age","NUTS 3 Region","UNIT","VALUE"
"Projected Population","2022","Male","Method - M2","Under 1 year","Ireland","Thousand","29.5"
"Projected Population","2022","Male","Method - M2","1 year","Ireland","Thousand","29"
"Projected Population","2022","Male","Method - M2","2 years","Ireland","Thousand","30.3"
"Projected Population","2022","Male","Method - M2","3 years","Ireland","Thousand","31"
"Projected Population","2022","Male","Method - M2","4 years","Ireland","Thousand","31.7"
"Projected Population","2022","Male","Method - M2","5 years","Ireland","Thousand","32.8"
"Projected Population","2022","Male","Method - M2","6 years","Ireland","Thousand","34.2"
"Projected Population","2022","Male","Method - M2","7 years","Ireland","Thousand","35.5"
"Projected Population","2022","Male","Method - M2","8 years","Ireland","Thousand","36.4"
"Projected Population","2022","Male","Method - M2","9 years","Ireland","Thousand","37"
"Projected Population","2022","Male","Method - M2","10 years","Ireland","Thousand","38.2"
"Projected Population","2022","Male","Method - M2","11 years","Ireland","Thousand","38.4"
"Projected Population","2022","Male","Method - M2","12 years","Ireland","Thousand","39"
"Projected Population","2022","Male","Method - M2","13 years","Ireland","Thousand","38.5"
"Projected Population","2022","Male","Method - M2","14 years","Ireland","Thousand","37.4"
"Projected Population","2022","Male","Method - M2","15 years","Ireland","Thousand","35.9"
"Projected Population","2022","Male","Method - M2","16 years","Ireland","Thousand","34.7"
"Projected Population","2022","Male","Method - M2","17 years","Ireland","Thousand","35"
"Projected Population","2022","Male","Method - M2","18 years","Ireland","Thousand","33.9"
"Projected Population","2022","Male","Method - M2","19 years","Ireland","Thousand","33.1"
"Projected Population","2022","Male","Method - M2","20 years","Ireland","Thousand","32.5"
"Projected Population","2022","Male","Method - M2","21 years","Ireland","Thousand","31.5"
"Projected Population","2022","Male","Method - M2","22 years","Ireland","Thousand","31.9"
"Projected Population","2022","Male","Method - M2","23 years","Ireland","Thousand","31.4"
"Projected Population","2022","Male","Method - M2","24 years","Ireland","Thousand","30.7"
"Projected Population","2022","Male","Method - M2","25 years","Ireland","Thousand","30.5"
"Projected Population","2022","Male","Method - M2","26 years","Ireland","Thousand","29.7"
"Projected Population","2022","Male","Method - M2","27 years","Ireland","Thousand","29.5"
"Projected Population","2022","Male","Method - M2","28 years","Ireland","Thousand","29.2"
"Projected Population","2022","Male","Method - M2","29 years","Ireland","Thousand","30.2"
"Projected Population","2022","Male","Method - M2","30 years","Ireland","Thousand","31.3"
"Projected Population","2022","Male","Method - M2","31 years","Ireland","Thousand","32.4"
"Projected Population","2022","Male","Method - M2","32 years","Ireland","Thousand","32.5"
"Projected Population","2022","Male","Method - M2","33 years","Ireland","Thousand","32"
"Projected Population","2022","Male","Method - M2","34 years","Ireland","Thousand","33.2"
"Projected Population","2022","Male","Method - M2","35 years","Ireland","Thousand","35.1"
